year,fips,county,state,urban,copd_edv,copd_hos,copd_pre,copd_prs,copd_pqi,asth_pre,toba_pre,copd_apc
2012-2015,37037,Chatham County,NORTH CAROLINA,1,-1.096892138939671,0,1,0,-0.5988023952095809,3,1,-12.385039852851012
2012-2015,37039,Cherokee County,NORTH CAROLINA,0,13.449367088607595,60,-1,0,11.284046692607005,4,2,-2.7866242038216558
2012-2015,37041,Chowan County,NORTH CAROLINA,0,14.142678347934918,-66.66666666666667,2,0,-44.4578313253012,4,1,-44.421487603305785
2012-2015,37043,Clay County,NORTH CAROLINA,0,5.852842809364548,50,0,2,85.87896253602305,3,0,-4.715447154471544
2012-2015,37045,Cleveland County,NORTH CAROLINA,0,6.773823191733639,-27.272727272727273,2,0,-6.851549755301795,4,1,-1.0869565217391304
2012-2015,37047,Columbus County,NORTH CAROLINA,0,3.121387283236994,-7.692307692307692,2,0,-18.417874396135268,6,2,-7.142857142857142
2012-2015,37049,Craven County,NORTH CAROLINA,0,0.2857142857142857,50,1,0,21.690590111642745,5,2,12.783505154639176
2012-2015,37051,Cumberland County,NORTH CAROLINA,1,3.5952063914780292,-10,2,1,-8.861671469740633,4,1,-11.6331096196868
2012-2015,37053,Currituck County,NORTH CAROLINA,1,10.777385159010601,-16.666666666666668,1,0,-23.09337134711333,4,0,-32.327044025157235
2012-2015,37055,Dare County,NORTH CAROLINA,0,-1.1986301369863015,-55.55555555555556,0,0,-59.654178674351584,2,0,-33.0150068212824
2012-2015,37057,Davidson County,NORTH CAROLINA,0,1.0484927916120577,-38.46153846153846,1,3,-24.11873840445269,6,2,-17.04199634814364
2012-2015,37059,Davie County,NORTH CAROLINA,1,9.6,-30,1,0,-37.580071174377224,5,1,-29.665809768637533
2012-2015,37061,Duplin County,NORTH CAROLINA,0,20.37735849056604,-20,1,0,-23.11046511627907,4,2,6.828193832599119
2012-2015,37063,Durham County,NORTH CAROLINA,1,0,-14.285714285714285,0,0,-4.927211646136619,3,1,-16.92150866462793
2012-2015,37065,Edgecombe County,NORTH CAROLINA,1,14.596949891067538,-7.692307692307692,0,0,-7.50367827366356,4,2,-1.466992665036675
2012-2015,37067,Forsyth County,NORTH CAROLINA,1,0.3952569169960474,-22.22222222222222,2,0,-15.165511932255582,5,2,-5.308114704087858
2012-2015,37069,Franklin County,NORTH CAROLINA,1,-11.233211233211234,-11.11111111111111,0,0,-17.973372781065088,4,0,-10.764082543223648
2012-2015,37071,Gaston County,NORTH CAROLINA,1,6.701708278580814,12.5,0,2,24.37070938215103,4,1,9.245411284840245
2012-2015,37073,Gates County,NORTH CAROLINA,0,8.559782608695652,-22.22222222222222,1,0,-6.91085003455425,3,2,-16.8
2012-2015,37075,Graham County,NORTH CAROLINA,0,14.749262536873156,-37.5,-1,0,-23.856613102595798,4,3,-21.458333333333332
2012-2015,37077,Granville County,NORTH CAROLINA,0,12.480739599383666,-11.11111111111111,1,0,1.5347334410339255,2,0,15.902366863905327
2012-2015,37079,Greene County,NORTH CAROLINA,1,-2.407932011331445,12.5,0,0,-15.344311377245509,4,2,-3.5064059339177343
2012-2015,37081,Guilford County,NORTH CAROLINA,1,8.649468892261002,0,1,1,25.84573748308525,3,2,-5.465288035450517
2012-2015,37083,Halifax County,NORTH CAROLINA,0,5.163329820864067,-13.333333333333334,-1,1,-8.324552160168599,4,1,10.670731707317074
2012-2015,37085,Harnett County,NORTH CAROLINA,0,15.078407720144755,0,2,-1,-4.282115869017632,6,2,-20.371352785145888
2012-2015,37087,Haywood County,NORTH CAROLINA,1,14.920273348519363,-23.076923076923077,0,0,17.16203259827421,3,1,-13.692407527579494
2012-2015,37089,Henderson County,NORTH CAROLINA,1,4.778761061946902,-16.666666666666668,0,1,-8.215297450424929,3,0,2.1126760563380285
2012-2015,37091,Hertford County,NORTH CAROLINA,0,8.126410835214447,-12.5,1,0,-25.06561679790026,3,3,-26.6721044045677
2012-2015,37093,Hoke County,NORTH CAROLINA,1,24.078341013824886,-25,1,0,7.848101265822785,5,1,-27.655207798871217
2012-2015,37095,Hyde County,NORTH CAROLINA,0,-19.68503937007874,66.66666666666667,-2,0,25.1984126984127,2,2,259.6938775510204
2012-2015,37097,Iredell County,NORTH CAROLINA,0,3.7037037037037037,-38.46153846153846,1,1,-39.30741190765492,5,0,-11.52980877390326
2012-2015,37099,Jackson County,NORTH CAROLINA,0,1.5267175572519083,0,-1,0,-13.623978201634877,4,1,26.0387811634349
2012-2015,37101,Johnston County,NORTH CAROLINA,1,4.37956204379562,-8.333333333333334,2,-1,-5.661712668082094,5,2,-2.572347266881029
2012-2015,37103,Jones County,NORTH CAROLINA,0,1.0432190760059612,33.333333333333336,0,0,-4.590818363273454,6,2,48.15668202764977
2012-2015,37105,Lee County,NORTH CAROLINA,0,8.37912087912088,0,1,1,4.585026117237376,3,1,-4.326328800988875
2012-2015,37107,Lenoir County,NORTH CAROLINA,0,2.0969855832241153,-25,1,0,-5.592991913746631,4,3,-16.1022805805114
2012-2015,37109,Lincoln County,NORTH CAROLINA,0,7.434402332361516,37.5,1,2,70.09803921568627,4,1,15.262430939226519
2012-2015,37111,McDowell County,NORTH CAROLINA,0,1.0914051841746248,-11.11111111111111,2,0,-1.3143483023001095,5,3,-4.742145820983995
2012-2015,37113,Macon County,NORTH CAROLINA,0,10.030864197530864,-14.285714285714285,1,0,-9.149484536082474,4,2,-4
2012-2015,37115,Madison County,NORTH CAROLINA,1,-0.8264462809917356,-66.66666666666667,2,0,-67.85009861932939,4,1,-47.82421370099095
2012-2015,37117,Martin County,NORTH CAROLINA,0,7.536557930258717,-6.25,1,0,-7.8304928604329795,3,3,11.43344709897611
2012-2015,37119,Mecklenburg County,NORTH CAROLINA,1,4.093567251461988,-14.285714285714285,0,0,-0.3480278422273782,2,1,-5.552165954850518
2012-2015,37121,Mitchell County,NORTH CAROLINA,0,0.697350069735007,-47.61904761904762,1,0,-48.57862540482188,5,5,-17.426545086119553
2012-2015,37123,Montgomery County,NORTH CAROLINA,0,-5.471124620060791,11.11111111111111,0,0,41.1697247706422,5,1,5.269533615990309
2012-2015,37125,Moore County,NORTH CAROLINA,0,-0.9868421052631579,-11.11111111111111,0,0,10.16759776536313,3,0,-4.675505931612003
2012-2015,37127,Nash County,NORTH CAROLINA,1,5.655526992287918,-10,1,1,-10.04851004851005,4,1,2.1978021978021975
2012-2015,37129,New Hanover County,NORTH CAROLINA,1,8.717948717948719,50,1,0,24.172185430463575,4,1,21.97891321978913
2012-2015,37131,Northampton County,NORTH CAROLINA,0,3.464203233256351,16.666666666666668,-1,0,-4.222648752399232,4,1,42.083333333333336
2012-2015,37133,Onslow County,NORTH CAROLINA,1,6.129032258064516,-33.333333333333336,1,0,-35.71847507331378,6,2,-25.393419170243202
2012-2015,37135,Orange County,NORTH CAROLINA,1,2.4229074889867843,-40,1,0,-16.051660516605168,2,1,2.7777777777777777
2012-2015,37137,Pamlico County,NORTH CAROLINA,0,0.7352941176470588,800,1,0,456.1855670103093,3,2,48.436018957345965
